"Story","Title","Result","Date","Stability","Duration (s)"
"Post Register Student and Mentor","Register new mentor with invalid path","SUCCESS","2023-08-20T22:24:50.4467776+07:00[Asia/Jakarta]","0.0","0.1"
"Post Register Student and Mentor","Register new Mentor with incomplete data","SUCCESS","2023-08-20T22:24:50.5519243+07:00[Asia/Jakarta]","0.0","0.11"
"Post Register Student and Mentor","Register new Mentor with data has been used","SUCCESS","2023-08-20T22:24:50.6772869+07:00[Asia/Jakarta]","0.0","0.52"
"Delete Mentor Class","Delete class mentor with valid path","FAILURE","2023-08-20T22:24:51.2117969+07:00[Asia/Jakarta]","0.0","2.6"
"Delete Mentor Class","Delete class mentor with invalid path","SUCCESS","2023-08-20T22:24:53.8229567+07:00[Asia/Jakarta]","0.0","1.75"
"Get All Mentor Class","Get all mentor class with valid path","FAILURE","2023-08-20T22:24:55.5827687+07:00[Asia/Jakarta]","0.0","2.25"
"Get All Mentor Class","Get all mentor class with invalid path","SUCCESS","2023-08-20T22:24:57.841926+07:00[Asia/Jakarta]","0.0","1.76"
"Get All Mentor Class","Get all mentor class without path","SUCCESS","2023-08-20T22:24:59.6107042+07:00[Asia/Jakarta]","0.0","1.74"
"Get Mentor Class","Get mentor class with valid path","FAILURE","2023-08-20T22:25:01.3583407+07:00[Asia/Jakarta]","0.0","2.17"
"Get Mentor Class","Get mentor class with invalid path","SUCCESS","2023-08-20T22:25:03.5354613+07:00[Asia/Jakarta]","0.0","2.17"
"Get Mentor Class","Get mentor class with empty path","SUCCESS","2023-08-20T22:25:05.7200075+07:00[Asia/Jakarta]","0.0","1.74"
"Post Make Class","Post make class with valid request body","SUCCESS","2023-08-20T22:25:07.4727891+07:00[Asia/Jakarta]","0.0","2.57"
"Post Make Class","Post make class with invalid path","SUCCESS","2023-08-20T22:25:10.05183+07:00[Asia/Jakarta]","0.0","1.77"
"Post Make Class","Post make class with empty request body","SUCCESS","2023-08-20T22:25:11.8317326+07:00[Asia/Jakarta]","0.0","2.56"
"Put Update Mentor Class","Put update mentor class with valid request body","SUCCESS","2023-08-20T22:25:14.4188177+07:00[Asia/Jakarta]","0.0","2.56"
"Put Update Mentor Class","Put update mentor class with invalid request body","SUCCESS","2023-08-20T22:25:16.9917226+07:00[Asia/Jakarta]","0.0","1.75"
"Put Update Mentor Class","Put update mentor class with invalid path","SUCCESS","2023-08-20T22:25:18.7487814+07:00[Asia/Jakarta]","0.0","1.78"
"Delete Mentor","Delete with invalid path","SUCCESS","2023-08-20T22:25:20.5430391+07:00[Asia/Jakarta]","0.0","1.77"
"Get All Mentor","Get all mentor with valid path","SUCCESS","2023-08-20T22:25:22.3425313+07:00[Asia/Jakarta]","0.0","0.32"
"Get All Mentor","Get all mentor with invalid path","SUCCESS","2023-08-20T22:25:22.6720838+07:00[Asia/Jakarta]","0.0","0.11"
"Get All Mentor","Get all mentor Get all mentor without path","SUCCESS","2023-08-20T22:25:22.7891694+07:00[Asia/Jakarta]","0.0","0.09"
"Get Mentor profile","Get mentor profile with valid path","SUCCESS","2023-08-20T22:25:22.9069148+07:00[Asia/Jakarta]","0.0","2.62"
"Get Mentor profile","Get mentor profile with invalid path","SUCCESS","2023-08-20T22:25:25.5311274+07:00[Asia/Jakarta]","0.0","1.83"
"Get mentor profile by id","Get mentor profile with valid path","SUCCESS","2023-08-20T22:25:27.3736455+07:00[Asia/Jakarta]","0.0","0.92"
"Get mentor profile by id","Get mentor profile with invalid id path special character","SUCCESS","2023-08-20T22:25:28.3071867+07:00[Asia/Jakarta]","0.0","0.12"
"Get mentor profile by id","Get mentor profile with unavailable path","SUCCESS","2023-08-20T22:25:28.4384054+07:00[Asia/Jakarta]","0.0","0.93"
"Get mentor top week","Get mentor top week with valid path","SUCCESS","2023-08-20T22:25:29.3771817+07:00[Asia/Jakarta]","0.0","0.33"
"Get mentor top week","Get mentor top week with invalid path","SUCCESS","2023-08-20T22:25:29.7158784+07:00[Asia/Jakarta]","0.0","0.09"
"Post Create Credentials","Post create Credentials with valid request body","FAILURE","2023-08-20T22:25:29.8201575+07:00[Asia/Jakarta]","0.0","1.84"
"Post Create Credentials","Post create Credentials with invalid request body","SUCCESS","2023-08-20T22:25:31.6740121+07:00[Asia/Jakarta]","0.0","1.82"
"Post Create Credentials","Post create Credentials with empty type","SUCCESS","2023-08-20T22:25:33.5050102+07:00[Asia/Jakarta]","0.0","1.77"
"Post Create Credentials","Post create Credentials with empty name","SUCCESS","2023-08-20T22:25:35.2861848+07:00[Asia/Jakarta]","0.0","1.8"
"Post Create Credentials","Post create Credentials with empty type and empty name","SUCCESS","2023-08-20T22:25:37.100136+07:00[Asia/Jakarta]","0.0","1.82"
"Put Edit Password Mentor","Put edit mentor password with valid request body","SUCCESS","2023-08-20T22:25:38.9309261+07:00[Asia/Jakarta]","0.0","5.68"
"Put Edit Password Mentor","Put edit mentor password with invalid request body","SUCCESS","2023-08-20T22:25:44.6200177+07:00[Asia/Jakarta]","0.0","1.73"
"Put Edit Password Mentor","Put edit mentor password with empty old password","SUCCESS","2023-08-20T22:25:46.3549864+07:00[Asia/Jakarta]","0.0","1.72"
"Put Edit Password Mentor","Put edit mentor password with empty new old password","SUCCESS","2023-08-20T22:25:48.0867908+07:00[Asia/Jakarta]","0.0","1.73"
"Put Edit Password Mentor","Put edit mentor password with empty confirmation old password","SUCCESS","2023-08-20T22:25:49.8278794+07:00[Asia/Jakarta]","0.0","1.76"
"Put Edit Password Mentor","Put edit mentor password with all empty value of password","SUCCESS","2023-08-20T22:25:51.5966805+07:00[Asia/Jakarta]","0.0","1.72"
"Put Edit Profile Mentor","Put Update mentor profile with valid request body","SUCCESS","2023-08-20T22:25:53.3366319+07:00[Asia/Jakarta]","0.0","2.58"
"Put Edit Profile Mentor","Put Update mentor profile with invalid request body","SUCCESS","2023-08-20T22:25:55.9226265+07:00[Asia/Jakarta]","0.0","1.71"
"Put Edit Profile Mentor","Put Update mentor profile with empty value body","SUCCESS","2023-08-20T22:25:57.6455461+07:00[Asia/Jakarta]","0.0","1.74"
"Get Review Mentor","Get mentor review with valid path","SUCCESS","2023-08-20T22:25:59.4030689+07:00[Asia/Jakarta]","0.0","9.46"
"Get Review Mentor","Get mentor review with empty path","SUCCESS","2023-08-20T22:26:08.8708169+07:00[Asia/Jakarta]","0.0","7.75"
"Post Create Review Mentor","Post make review class with valid request body using valid path {id}","SUCCESS","2023-08-20T22:26:16.6374629+07:00[Asia/Jakarta]","0.0","8.47"
"Post Create Review Mentor","Post make review class with invalid request body using invalid path {id}","SUCCESS","2023-08-20T22:26:25.1156018+07:00[Asia/Jakarta]","0.0","5.32"
"Post Create Review Mentor","Post make review class with empty request body using valid path {id}","SUCCESS","2023-08-20T22:26:30.4452342+07:00[Asia/Jakarta]","0.0","8.77"
